Link,Brand,Model,Laptop Series,Part No,Processor Brand,Processor Type,Processor Model,Processor Core,RAM,RAM Type,HDD RPM,Installed SSD Type,Graphics Chipset,Graphics Memory Accessibility,Graphics Memory,Display Size (Inch),Display Type,Display Resolution,Touch Screen,Optical Drive,HDMI Port,LAN,Finger Print Sensor,Operating System,Color,Weight (Kg),Power Adapter,Warranty,Country Of Origin
https://www.ryans.com/hp-255-g8-amd-ryzen-3-5300u-8gb-ram-1tb-hdd-15.6-inch-fhd-display-silver-laptop,HP,HP 255 G8,ProBook,5C138PA,AMD,Not Found,Ryzen 3 5300U,4,8GB,DDR4,5400 RPM,Not Found,AMD Radeon Graphics,Integrated,Shared,15.6,FHD LED Display,1920x1080,No,No,1,Yes,No,Free-Dos,Dark Ash Silver,1.74 kg,45W,3 Year,USA
https://www.ryans.com/acer-aspire-lite-al15-52-intel-core-i3-1215u-8gb-ram-512gb-ssd-15.6-inch-fhd-display-steel-gray-laptop,Acer,Acer Aspire Lite AL15-52,Aspire,UN.431SI.P26,Intel,Not Found,Core i3 1215U,6,8GB,DDR4,No HDD,NVMe PCIe,Intel UHD Graphics,Integrated,Shared,15.6,FHD LED Display,1920x1080,No,No,1,Yes,No,Free-Dos,Steel Gray,1.59 kg,45W,2 Year,Taiwan
https://www.ryans.com/hp-15-fc0185au-amd-ryzen-3-7320u-8gb-ram-512gb-ssd-15.6-inch-fhd-display-moonlight-blue-laptop,HP,HP 15-fc0185AU,15,9T6X5PA,AMD,Not Found,Ryzen 3 7320U,4,8GB,DDR5,No HDD,NVMe PCIe,AMD Radeon 610M Graphics,Integrated,Shared,15.6,FHD LED Display,1920x1080,No,No,1,No,Yes,Win-11 Home,Moonlight Blue,1.69 kg,45W,2 Year,USA
https://www.ryans.com/msi-modern-14-c11m-11th-gen-intel-core-i3-1115g4-14-inch-fhd-ips-display-classic-black-laptop,MSI,MSI Modern 14 C11M,Modern,9S7-14J312-242,Intel,Not Found,Core i3 1115G4,2,8GB,DDR4,No HDD,NVMe PCIe,Intel UHD Graphics,Intergrated,Shared,14,FHD LED Display,1920x1080,No,No,1,No,No,Free-Dos,Classic Black,1.4kg,65W,2 Year,Taiwan
https://www.ryans.com/lenovo-ideapad-slim-3i-14iau7-intel-core-i3-1215u-14-inch-fhd-display-arctic-grey-laptop,Lenovo,Lenovo IdeaPad Slim 3i 14IAU7,IdeaPad,82RJ009XIN,Intel,Not Found,Core i3 1215U,6,8GB,DDR4,No HDD,NVMe PCIe,Intel UHD Graphics,Integrated,Shared,14,FHD LED Display,1920x1080,No,No,1,No,No,Free-Dos,Arctic Grey,1.43 kg,65W,2 Year,China
https://www.ryans.com/dell-inspiron-15-3515-amd-ryzen-3-3250u-8gb-ram-256gb-ssd-15.6-inch-fhd-display-platinum-silver-laptop,Dell,Dell Inspiron 15 3515,Inspiron,WARLOCKN315AMD2205260B,AMD,Not Found,Ryzen 3 3250U,2,8GB,DDR4,No HDD,NVMe PCIe,AMD Radeon Graphics,Integrated,Shared,15.6,FHD LED Display,1920x1080,No,No,1,No,No,Win-11 Home,Platinum Silver,1.71 kg,65W,2 Year,USA
https://www.ryans.com/lenovo-ideapad-slim-3i-14itl-14-inch-arctic-grey-laptop,Lenovo,Lenovo IdeaPad Slim 3i 14ITL,IdeaPad,82H7013EIN,Intel,Not Found,Core i3 1115G4,2,8GB,DDR4,No HDD,NVMe PCIe,Intel UHD Graphics,Integrated,Shared,14,FHD,1920x1080,No,No,1,No,Yes,Win-11 Home,Arctic Grey,1.41 Kg,65W,3 Year,China
https://www.ryans.com/msi-modern-14-c12mo-intel-core-i3-1215u-14-inch-fhd-ips-60hz-display-classic-black-laptop,MSI,MSI Modern 14 C12MO,Modern,C12MO-860XBD-BB31215U16GXXDXX,Intel,Not Found,Core i3 1215U,6,16GB,DDR4,No HDD,NVMe PCIe,Intel UHD Graphics,Integrated,Shared,14,FHD LED Display,1920x1080,No,No,1,No,No,Free-Dos,Classic Black,1.4 kg,65W,2 Year,Taiwan
https://www.ryans.com/lenovo-v15-gen-3-intel-core-i3-1215u-15.6-inch-fhd-display-iron-grey-laptop,Lenovo,Lenovo V15 Gen 3,V Series,82TTA05GIN,Intel,Not Found,Core i3 1215U,6,8GB,DDR4,No HDD,Not Found,Intel UHD Graphics,Integrated,Shared,15.6,FHD LED Display,1920x1080,No,No,Not Found,Unmentioned,No,Free-Dos,Iron Gray,Not Found,Not Found,2 Year,China
https://www.ryans.com/lenovo-ideapad-slim-3i-15iau7-intel-core-i3-1215u-8gb-ram-512gb-ssd-15.6-inch-fhd-display-abyss-blue-laptop,Lenovo,Lenovo IdeaPad Slim 3i 15IAU7,IdeaPad,82RK0123IN,Intel,Not Found,Core i3 1215U,6,8GB,DDR4,No HDD,NVMe PCIe,Intel UHD Graphics,Integrated,Shared,15.6,FHD LED Display,1920x1080,No,No,1,No,No,Free-Dos,Abyss Blue,1.63 kg,65W,2 Year,China
